delta	lambda	item	intercept	depth	embBias	embBias_Two	embBias_Three	compatible	compatible_Two	compatible_Three	compatible:EmbBias
0.05	0	Item232_Critical_0	59.17	0.038	0.031	0.0725	-0.0105	0.151	0.302	0.0	-0.064
0.05	0	Item232_Critical_1	59.098	-0.047	0.094	0.0115	0.1765	-0.16	-0.1315	-0.1885	0.112
0.05	0	Item232_Critical_10	59.249	-0.085	-0.013	-0.024	-0.002	0.123	0.095	0.151	-0.008
0.05	0	Item232_Critical_11	59.159	-0.198	-0.034	0.04	-0.108	-0.047	0.057	-0.151	0.002
0.05	0	Item232_Critical_12	59.189	0.142	-0.062	-0.1035	-0.0205	-0.236	-0.321	-0.151	-0.088
0.05	0	Item232_Critical_13	59.181	-0.311	-0.034	0.0445	-0.1125	0.047	-0.0755	0.1695	0.16
0.05	0	Item232_Critical_14	59.079	-0.132	-0.123	-0.1845	-0.0615	0.038	0.019	0.057	0.021
0.05	0	Item232_Critical_15	59.132	0.057	-0.022	0.001	-0.045	0.094	0.4905	-0.3025	0.044
0.05	0	Item232_Critical_16	59.242	-0.141	-0.049	-0.0515	-0.0465	-0.085	0.019	-0.189	-0.125
0.05	0	Item232_Critical_17	59.14	-0.339	-0.011	-0.0115	-0.0105	0.057	0.0005	0.1135	0.077
0.05	0	Item232_Critical_18	59.117	-0.188	-0.046	-0.0965	0.0045	0.208	0.359	0.057	-0.014
0.05	0	Item232_Critical_19	59.11	-0.302	0.085	-0.073	0.243	-0.207	-0.188	-0.226	-0.063
0.05	0	Item232_Critical_2	59.132	0.0	0.083	0.129	0.037	0.0	-0.245	0.245	0.143
0.05	0	Item232_Critical_20	59.245	0.076	-0.022	-0.023	-0.021	0.057	0.1515	-0.0375	-0.003
0.05	0	Item232_Critical_21	59.076	-0.028	0.035	-0.042	0.112	0.066	0.019	0.113	-0.284
0.05	0	Item232_Critical_23	59.072	-0.264	0.035	0.017	0.053	0.076	0.0195	0.1325	-0.287
0.05	0	Item232_Critical_24	59.019	-0.32	0.17	0.185	0.155	0.019	-0.0565	0.0945	-0.144
0.05	0	Item232_Critical_25	59.091	-0.066	0.084	0.115	0.053	-0.047	0.0945	-0.1885	0.008
0.05	0	Item232_Critical_26	59.17	0.0	0.034	0.0055	0.0625	0.0	0.038	-0.038	0.144
0.05	0	Item232_Critical_27	58.989	-0.49	-0.108	-0.062	-0.154	-0.019	0.0755	-0.1135	0.138
0.05	0	Item232_Critical_28	59.253	-0.037	0.005	0.009	0.001	-0.057	-0.0945	-0.0195	0.016
