VSLK_ID	Sentence
E1_01_a	The nurse supervised the administrator while a patient was brought into the emergency room.
E1_01_b	The nurse from the clinic supervised the administrator while a patient was brought into the emergency room.
E1_01_c	The nurse who was from the clinic supervised the administrator while a patient was brought into the emergency room.
E1_01_d	The administrator who the nurse supervised scolded the medic while a patient was brought into the emergency room.
E1_01_e	The administrator who the nurse from the clinic supervised scolded the medic while a patient was brought into the emergency room.
E1_01_f	The administrator who the nurse who was from the clinic supervised scolded the medic while a patient was brought into the emergency room.
E1_02_a	The doorman chatted with the janitor but the manager decided not to fire him for it.
E1_02_b	The doorman at the hotel chatted with the janitor but the manager decided not to fire him for it.
E1_02_c	The doorman who was at the hotel chatted with the janitor but the manager decided not to fire him for it.
E1_02_d	The janitor who the doorman chatted with bothered a guest but the manager decided not to fire him for it.
E1_02_e	The janitor who the doorman at the hotel chatted with bothered a guest but the manager decided not to fire him for it.
E1_02_f	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.
E1_03_a	The quarterback dated the cheerleader although this hurt her reputation around school.
E1_03_b	The quarterback on the team dated the cheerleader although this hurt her reputation around school.
E1_03_c	The quarterback who was on the team dated the cheerleader although this hurt her reputation around school.
E1_03_d	The cheerleader who the quarterback dated snubbed the teammates although this hurt her reputation around school.
E1_03_e	The cheerleader who the quarterback on the team dated snubbed the teammates although this hurt her reputation around school.
E1_03_f	The cheerleader who the quarterback who was on the team dated snubbed the teammates although this hurt her reputation around school.
E1_04_a	The fans loved the guitarist because he played with so much energy.
E1_04_b	The fans at the concert loved the guitarist because he played with so much energy.
E1_04_c	The fans who were at the concert loved the guitarist because he played with so much energy.
E1_04_d	The guitarist who the fans loved injured a spectator because he played with so much energy.
E1_04_e	The guitarist who the fans at the concert loved injured a spectator because he played with so much energy.
E1_04_f	The guitarist who the fans who were at the concert loved injured a spectator because he played with so much energy.
E1_05_a	The rebels captured the diplomat after they threatened to kill his family for not complying with their demands.
E1_05_b	The rebels in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.
E1_05_c	The rebels who were in the jungle captured the diplomat after they threatened to kill his family for not complying with their demands.
E1_05_d	The diplomat who the rebels captured pleaded with the villagers after they threatened to kill his family for not complying with their demands.
E1_05_e	The diplomat who the rebels in the jungle captured pleaded with the villagers after they threatened to kill his family for not complying with their demands.
E1_05_f	The diplomat who the rebels who were in the jungle captured pleaded with the villagers after they threatened to kill his family for not complying with their demands.
E1_06_a	The guard attacked the prisoner although he had no intention of trying to escape.
E1_06_b	The guard by the gate attacked the prisoner although he had no intention of trying to escape.
E1_06_c	The guard who was by the gate attacked the prisoner although he had no intention of trying to escape.
E1_06_d	The prisoner who the guard attacked tackled the warden although he had no intention of trying to escape.
E1_06_e	The prisoner who the guard by the gate attacked tackled the warden although he had no intention of trying to escape.
E1_06_f	The prisoner who the guard who was by the gate attacked tackled the warden although he had no intention of trying to escape.
E1_07_a	The servant hired the cook and then left the mansion early to see a movie at the local theater.
E1_07_b	The servant in the kitchen hired the cook and then left the mansion early to see a movie at the local theater.
E1_07_c	The servant who was in the kitchen hired the cook and then left the mansion early to see a movie at the local theater.
E1_07_d	The cook who the servant hired offended the butler and then left the mansion early to see a movie at the local theater.
E1_07_e	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.
E1_07_f	The cook who the servant who was in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.
E1_08_a	The detective consulted the surgeon because the markings on the body were difficult to explain.
E1_08_b	The detective on the case consulted the surgeon because the markings on the body were difficult to explain.
E1_08_c	The detective who was on the case consulted the surgeon because the markings on the body were difficult to explain.
E1_08_d	The surgeon who the detective consulted questioned the coroner because the markings on the body were difficult to explain.
E1_08_e	The surgeon who the detective on the case consulted questioned the coroner because the markings on the body were difficult to explain.
E1_08_f	The surgeon who the detective who was on the case consulted questioned the coroner because the markings on the body were difficult to explain.
E1_09_a	The dragon wounded the knight although he was far too crippled to protect the princess.
E1_09_b	The dragon in the tower wounded the knight although he was far too crippled to protect the princess.
E1_09_c	The dragon who was in the tower wounded the knight although he was far too crippled to protect the princess.
E1_09_d	The knight who the dragon wounded married the princess although he was far too crippled to protect her.
E1_09_e	The knight who the dragon in the tower wounded married the princess although he was far too crippled to protect her.
E1_09_f	The knight who the dragon who was in the tower wounded married the princess although he was far too crippled to protect her.
E1_10_a	The firemen apprehended the arsonist because there was a great deal of evidence pointing to his guilt.
E1_10_b	The firemen at the scene apprehended the arsonist because there was a great deal of evidence pointing to his guilt.
E1_10_c	The fireman who was at the scene apprehended the arsonist because there was a great deal of evidence pointing to his guilt.
E1_10_d	The arsonist who the fireman apprehended obtained a lawyer because there was a great deal of evidence pointing to his guilt.
E1_10_e	The arsonist who the firemen at the scene apprehended obtained a lawyer because there was a great deal of evidence pointing to his guilt.
E1_10_f	The arsonist who the firemen who was at the scene apprehended obtained a lawyer because there was a great deal of evidence pointing to his guilt.
E1_11_a	The audience booed the singer before the owner of the bar could remove him from the stage.
E1_11_b	The audience at the club booed the singer before the owner of the bar could remove him from the stage.
E1_11_c	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.
E1_11_d	The singer who the audience booed insulted the pianist before the owner of the bar could remove him from the stage.
E1_11_e	The singer who the audience at the club booed insulted the pianist before the owner of the bar could remove him from the stage.
E1_11_f	The singer who the audience who was at the club booed insulted the pianist before the owner of the bar could remove him from the stage.
E1_12_a	The baker loathed the manager because he had instituted a new dress code for all employees.
E1_12_b	The baker at the shop loathed the manager because he had instituted a new dress code for all employees.
E1_12_c	The baker who was at the shop loathed the manager because he had instituted a new dress code for all employees.
E1_12_d	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.
E1_12_e	The manager who the baker at the shop loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.
E1_12_f	The manager who the baker who was at the shop loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.
E1_13_a	The detective followed the gangster because the police suspected he had murdered the shopkeeper.
E1_13_b	The detective at the club followed the gangster because the police suspected he had murdered the shopkeeper.
E1_13_c	The detective who was at the club followed the gangster because the police suspected he had murdered the shopkeeper.
E1_13_d	The gangster who the detective followed implicated the waitress because the police suspected he had murdered the shopkeeper.
E1_13_e	The gangster who the detective at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.
E1_13_f	The gangster who the detective who was at the club followed implicated the waitress because the police suspected he had murdered the shopkeeper.
E1_14_a	The lawyer scolded the engineer but nobody listened to his complaints.
E1_14_b	The lawyer by the elevator scolded the engineer but nobody listened to his complaints.
E1_14_c	The lawyer who was by the elevator scolded the engineer but nobody listened to his complaints.
E1_14_d	The engineer who the lawyer scolded blamed the secretary but nobody listened to his complaints.
E1_14_e	The engineer who the lawyer by the elevator scolded blamed the secretary but nobody listened to his complaints.
E1_14_f	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.
E1_15_a	The students studied the surgeon whenever he performed an important operation.
E1_15_b	The students at the operation studied the surgeon whenever he performed an important operation.
E1_15_c	The students who were at the operation studied the surgeon whenever he performed an important operation.
E1_15_d	The surgeon who the students studied whispered to the nurse whenever he performed an important operation.
E1_15_e	The surgeon who the students at the operation studied whispered to the nurse whenever he performed an important operation.
E1_15_f	The surgeon who the students who were at the operation studied whispered to the nurse whenever he performed an important operation.
E1_16_a	The mathematician baffled the philosopher although she rarely needed anyone else's help.
E1_16_b	The mathematician at the banquet baffled the philosopher although she rarely needed anyone else's help.
E1_16_c	The mathematician who was at the banquet baffled the philosopher although she rarely needed anyone else's help.
E1_16_d	The philosopher who the mathematician baffled consulted a colleague although she rarely needed anyone else's help.
E1_16_e	The philosopher who the mathematician at the banquet baffled consulted a colleague although she rarely needed anyone else's help.
E1_16_f	The philosopher who the mathematician who was at the banquet baffled consulted a colleague although she rarely needed anyone else's help.
E1_17_a	The customer contacted the operator because the new long-distance pricing plan was extremely inconvenient.
E1_17_b	The customer on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.
E1_17_c	The customer who was on the phone contacted the operator because the new long-distance pricing plan was extremely inconvenient.
E1_17_d	The operator who the customer contacted notified the supervisor because the new long-distance pricing plan was extremely inconvenient.
E1_17_e	The operator who the customer on the phone contacted notified the supervisor because the new long-distance pricing plan was extremely inconvenient.
E1_17_f	The operator who the customer who was on the phone contacted notified the supervisor on the phone because the new long-distance pricing plan was extremely inconvenient.
E1_18_a	The readers supported the cartoonist because she thought that censorship was never appropriate.
E1_18_b	The readers from the university supported the cartoonist because she thought that censorship was never appropriate.
E1_18_c	The readers who were from the university supported the cartoonist because she thought that censorship was never appropriate.
E1_18_d	The cartoonist who the readers supported pressured the dean because she thought that censorship was never appropriate.
E1_18_e	The cartoonist who the readers from the university supported pressured the dean because she thought that censorship was never appropriate.
E1_18_f	The cartoonist who the readers who were from the university supported pressured the dean because she thought that censorship was never appropriate.
E1_19_a	The police arrested the hippies while the last act was going on stage.
E1_19_b	The police at the concert arrested the hippies while the last act was going on stage.
E1_19_c	The police who were at the concert arrested the hippies while the last act was going on stage.
E1_19_d	The hippies who the police arrested complained to the officials while the last act was going on stage.
E1_19_e	The hippies who the police at the concert arrested complained to the officials while the last act was going on stage.
E1_19_f	The hippies who the police who were at the concert arrested complained to the officials while the last act was going on stage.
E1_20_a	The boy captured the spider since it was larger than the average spider.
E1_20_b	The boy in the yard captured the spider since it was larger than the average spider.
E1_20_c	The boy who was in the yard captured the spider since it was larger than the average spider.
E1_20_d	The spider that the boy captured scared the dog since it was larger than the average spider.
E1_20_e	The spider that the boy in the yard captured scared the dog since it was larger than the average spider.
E1_20_f	The spider that the boy who was in the yard captured scared the dog since it was larger than the average spider.
E1_21_a	The bully punched the kid after all the kids had to leave to go to class.
E1_21_b	The bully on the playground punched the kid after all the kids had to leave to go to class.
