predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0.75	0.55	251291	74275.91	0.02931967	
1	0.5	251291	74282.19	0.02868847	
0.75	0.15	251291	74305.22	0.02670057	
0.75	0.6	251291	74270.41	0.02991376	
0	0.65	251291	74378.73	0.02668879	
0.75	0.75	251291	74272.17	0.03019874	
0.75	0.8	251291	74274.56	0.03049661	
0.5	0.85	251291	74302.14	0.03017834	
0	0.75	251291	74459.31	0.0168334	
1	0.45	251291	74277.89	0.0290266	
1	0.75	251291	74264.64	0.0306168	
0.75	0.45	251291	74281.36	0.02866743	
1	0.7	250910	74235.62	0.03043276	
1	0.6	251291	74276.14	0.02926716	
1	0.35	251291	74287.36	0.02824324	
0.25	0.2	251291	74306.32	0.02666095	
0.5	0.15	251291	74303.39	0.0268907	
0.75	0.5	251291	74278.24	0.02887934	
1	0.95	251291	74415.78	0.0246888	
0.25	0.65	251291	74318.63	0.02904845	
1	0.15	251291	74304.15	0.02690887	
1	0.8	251291	74266.88	0.03073913	
1	0.3	251291	74290.09	0.02808309	
1	0.65	251291	74269.36	0.02982448	
0.25	0.95	251291	74426.54	0.02157711	
0.25	0.45	251291	74280.93	0.02850857	
1	0.25	251291	74293.87	0.02770922	
0.25	0.1	251291	74306.7	0.02659903	
0.75	0.35	251291	74281.95	0.02843891	
0.25	0.6	251291	74305.53	0.02820462	
0.25	0.85	251291	74357.03	0.02790351	
0.75	0.7	251291	74264.19	0.03061727	
0.75	0.3	250508	74392.79	0.02719459	
0.5	0.35	251291	74298.51	0.02737396	
0.75	0.2	251291	74303.48	0.0269039	
0.75	0.85	251291	74281.87	0.03043646	
1	0.2	251291	74297.49	0.02743116	
0.75	0.4	251291	74291.09	0.02809729	
0	0.85	251291	74490.16	0.003336914	
1	0.55	251291	74278.22	0.02898655	
0.25	0.5	251291	74278.25	0.02860983	
0.75	0.9	251291	74356.59	0.02794191	
0	0.7	251291	74450.63	0.01572794	
0.5	0.6	251291	74267.28	0.02996447	
0.25	0.3	251291	74304.23	0.0269379	
0	0.6	251291	74379.22	0.0247804	
0.75	0.25	251291	74299.17	0.02720331	
0	0.95	250139	74231.15	-0.0002177116	
0	0.1	251291	74307.25	0.02657039	
0.75	0.95	251291	74427.51	0.02272777	
1	0.4	251291	74284.97	0.0284842	
0	0.8	251291	74481.66	0.008212879	
0.25	0.8	251291	74336.71	0.02763262	
0.75	0.65	251291	74269.29	0.03018878	
0.5	0.3	251291	74299.99	0.02717883	
1	0.85	251291	74285.23	0.03064095	
0	0.4	251291	74315.19	0.02660295	
0.5	0.2	251291	74302.86	0.02698846	
0.5	0.75	251291	74310.23	0.02756245	
0.5	0.7	251291	74284.15	0.02940849	
0.5	0.1	251291	74305.99	0.02665557	
1	0.9	251291	74347.98	0.02861177	
1	0.1	251291	74302.8	0.02694615	
0.25	0.35	251291	74296.79	0.02751552	
0	0.9	251291	74488.65	0.0004280971	
1	0.05	251291	74305.38	0.02673686	
0.5	0.65	251291	74279.75	0.02930264	
0	0.45	251291	74330.08	0.02408945	
0.25	0.7	251291	74335.54	0.02682858	
0.5	0.9	251291	74348.92	0.02793123	
0.5	0.45	251291	74282.03	0.02832958	
0	0.5	251291	74328.29	0.02703417	
0.5	0.05	251291	74306.46	0.02661007	
0.25	0.9	251291	74390.11	0.02489161	
0.5	0.8	251291	74290.65	0.02994294	
0.5	0.55	251291	74278.67	0.02943641	
0.25	0.75	251291	74332.43	0.02647057	
0.25	0.25	251291	74304.79	0.02683119	
0.75	0.05	251291	74306.06	0.02666955	
0.5	0.5	251291	74280.91	0.0286725	
0.25	0.55	251291	74294.58	0.02887555	
0.5	0.4	251291	74280.85	0.02850021	
0.5	0.25	251291	74302.5	0.02698897	
0	0.35	251291	74306.57	0.02704325	
0.25	0.4	251291	74295.07	0.0275335	
0.25	0.05	251291	74306.47	0.02661278	
0.25	0.15	251291	74305.45	0.02672765	
0	0.55	251291	74323.8	0.02767376	
0	0.2	251291	74303.22	0.02688876	
0	0.3	251291	74306.87	0.02702852	
0	0.05	251291	74306.79	0.02660036	
0.75	0.1	251291	74306.73	0.02660706	
0	0.15	251291	74306.24	0.02670949	
0	0.25	251291	74308.14	0.02689973	
0.5	0.95	251291	74424.98	0.02209534	
