workerid	completion	condition	item	sentence1	slide_number
0	was able to go to a better school.	filler	filler	The gardener's son won a scholarship, so he	4
0	anything that harmed animals.	filler	filler	Annabelle was generally against	5
0	the dream he had during the night.	filler	filler	When Frank woke up, he remembered	6
0	it stopped.	filler	filler_27	The horses ran down the hill to the barn before	7
0	tell her how he was.	filler	filler_40	The old man phoned his younger sister to	8
0	knew him served him.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	9
0	covered the forest never took a holiday.	sub_ext_RC	4_sub_ext_RC	The ranger who	10
0	owner consulted about his cat was very good.	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	11
0	wanted to meet was due to attend the party.	SC_RC	CRITICAL_5	The confirmation that the leading man who the starlet	12
0	had made complete a paper for him did not need to cheat but needed the money.	SC_RC	CRITICAL_0	The report that the ambitious student who the bully	14
0	is a fair age for a man.	filler	filler_16	Four score and seven	15
0	wanted to meet was unable to attend irritated the diplomat.	SC_RC	CRITICAL_11	The fact that the conservative senator who the diplomat	16
0	knew him told the judge.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	17
0	cheated on her.	filler	filler_12	Carl admitted to Larissa the he had	18
0	said had hit him, was untrue.	SC_RC	CRITICAL_10	The belief that the angry bookseller who the thief	19
0	failed to complete his ballot paper was disqualified.	sub_ext_RC	2_sub_ext_RC	The voter who	20
0	felt should stay in hospital understood his fear.	SC_RC	CRITICAL_2	The admission that the frightened child who the medic	21
0	child is born.	filler	filler_14	Every 20 minutes in the US a	22
0	disliked had committed larceny was pleasing.	SC_RC	CRITICAL_4	The disclosure that the school principal who the teacher	23
0	di it, it won't happen.	filler	filler_6	If you don't	24
0	thick shirt he was wearing.	filler	filler_35	The lumberjack sweated under the	25
0	admired was attending an event and that he might meet him, pleased the painter.	SC_RC	CRITICAL_9	The inkling that the famous sculptor who the painter	26
0	waited for him to arrive.	filler	filler_29	She drummed her fingers against the table as she	27
0	had written several books was now finished.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	28
0	generally sang opera was a change of direction for him.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	29
0	arrested was part of a cartel was incorrect.	SC_RC	CRITICAL_8	The assumption that the violent extremist who the agent	30
0	discuss there experiences.	filler	filler_24	The aviators gathered together at the library to	31
0	having won the choir competition.	filler	filler_34	The choir made a lot of noise in the back of the bus after	32
