completion	verbs	whichVerbDropped
Claimed stole money, was published and the ceo subsequently  lost their status	2	2
Claimed was on drugs, forced the runner to quit	2	-1
Hated, was a bad person was true	3	NA
Saved 10 years ago was standing infront of him made him cry	3	NA
Saw steal money, was correct	2	2
Stealing money, was correct	2	2
Stole money from was poor, made people donate money to him 	3	NA
Stole work from, was all the company needed to fire the artist 	2	2
Stopped supporting, was cheating	2	1
The assumption that the young violinist who the sponsors asda was sleeping with there sis	NA	NA
The belief that the angry bookseller who the thief took the best book cryed	NA	NA
The declaration that the school principal who the teacher fucked is fired	NA	NA
The disclosure that the shady trader who the businessman was brothers with shot a man selling tv's	NA	NA
The fact that the frightened child who the medic was treated was going to die	NA	NA
The report that the famous surgeon who the patient was pregnet was spreading like wield fire	NA	NA
admired, created a multi-million dollar company from scratch was something she had never expected.	3	NA
avoided at all costs, went by without much comment. 	2	-1
believe was true was a traitor.	NA	NA
berated had been fired made the customer ashamed of her own behavior when she heard the news. 	3	NA
called her son was out to make a buck was completely accurate.	3	NA
discovered was guilty, was correct	NA	NA
disliked turned out to be untrue. 	2	2
disliked, came as a great revelation. 	2	2
dubbed the Butcher of Chipping Norton was actually from Coventry had caused riots across Oxfordshire.	3	NA
employed for the job was actually a Russian spy is a long running conspiracy theory.	3	NA
fell in love with was adapted it to a terrible TV movie.	NA	NA
had always despised was going to jail filled the businessman with delight. 	3	NA
had become fond of had once been in a rock band was misplaced.	3	NA
had been asking to retire was going to keep working until his death turned out to be wrong.	3	NA
had been kissing was actually a dog came as no surprise.	3	NA
had been stalking was blind filled her with a mixture of guilt and lust.	3	NA
had been tracking was actually also a spy made her question the assassination orders.	3	NA
had befriended was injured in a car crash made the thief reconsider his plans for a burglary tonight.	3	NA
had called an asset to our community was behind all the odd happenings was occurring to many people in town.	3	NA
had called the police on for being too loud was unfounded. 	2	2
had caught was actually connect to a string of unsolved murders was a revelation. 	3	NA
had caught white on duty.	NA	NA
had complained about had been fired filled George with satisfaction.	3	NA
had designed was seen by many people.	2	-1
had discovered during a routine home visit was of great importance to national security. 	2	-1
had done work for turned out to be wrong.	2	2
had envied had died violently only made the painter more jealous.	3	NA
had fallen in love with told to others was that she had refused his advances but had eventually been charmed by his sense of humor.	2	2
had financed would improve the lives of everyone pleased her greatly.	3	NA
had flown out wasn't very good was difficult to bear.	3	NA
had framed was actually not in attendance that day shocked the principal.	3	NA
had given all her money to was her twin brother in disguise broke the show for me.	3	NA
had given top grades to had been secretly bribing the professor were unfounded. 	3	NA
had gotten scammed by had just arrived at the police station.	2	1
had injured, was a great relief.	2	2
had just arrested turned out to be false.	2	2
had just met to have lunch with was breaking the law for years.	2	1
had just met was scamming him was actually true.	3	NA
had known for years was married to her partner over the summer came as a surprise to some of the other teachers. 	3	NA
had once spoken with, was obtaining forbidden chemicals was proven true when the authorities searched his lab.	3	NA
had paid off got away without any comeback is typical of the corrupt government we have today.	3	NA
had paid thousands to promote their business was actually any good was shortsighted. 	3	NA
had picked on was a black belt in two different martial arts made a lot of sense of what had happened earlier that afternoon.	3	NA
had recently said was a suspect, turned out to be true.	2	2
had saved their life.	1	NA
had shot was actually an innocent sixteen year old transfer student surprised no-one.	3	NA
had spoke to had vanished.	2	1
had struck had won a million dollars in a lawsuit against the Police Department rankled the general public. 	3	NA
had targetted were at fault is absurd.	3	NA
had terrified had recovered cheered everyone in the community. 	3	NA
had their life to thank them for, was once scared of water was surprising. 	3	NA
had tipped well was willing to come the next morning to take her to her business appointment was a relief to her and eliminated her worry over how she would find her way to the new lawyer's office. 	3	NA
had trusted into her home, was actually robbing her was extremely upsetting. 	3	NA
has so much trust for was betrayed.	2	1
hated was a lie, confirming their suspicions.	2	2
hated, turned out to be correct.	2	2
helped out of the vehicle was going to live was welcome news.	3	NA
hit with her car had died after the accident devastated the woman. 	3	NA
hit with his car had died, was a very sad story.	3	NA
knew was laden with debt might file bankruptcy came as a surprise to the general public. 	3	NA
knew was sleeping with another board member's wife was touted as a "family man" really bothered the employee. 	3	NA
liked, was married.	2	1
liked, was shocking. 	2	2
lived with was not their lover surprised everyone. 	3	NA
loathed was found innocent made Joe consider suicide.	3	NA
looked up to, was open and honest. 	2	-1
looked up to, was shown to be false.	2	2
loved was dating someone else.	2	1
married had stolen the idea was found to be true when the person who developed it came forward.	3	NA
married, was out to fool the american public was based on fact.	3	NA
observed, was interesting. 	2	-1
often visited on Wednesdays, was having an affair with the boss was a surprise to the janitor.	3	NA
once admired, fooled the American people for so long, was completely unexpected.	3	NA
praised his performance.	1	NA
ran away from was incomplete.	2	2
said was very dangerous, stated that you might not want to view the clip as it was graphic and disturbing.	2	2
saw save someone, was filming a movie, made him feel tricked	3	NA
saw take three escorts up to his hotel room was doing anything wrong is unfounded.	3	NA
stole from the shop wasn't ever caught.	2	1
the admission that the office clerk who the customer hit over people	NA	NA
the assertion that the conservative senator who the diplomat slept with a school girl ans was put in prison	NA	NA
the inkling that the alleged criminal who officer shot a black man kill himself after he was faceing 10 years in prison	NA	NA
the realization that the cunning trickster who the womman was a man was shocking	NA	NA
the story that savvy politician who the banker let rob the mouny	NA	NA
told not to run won the race is crazy.	3	NA
told was successful to study.	2	1
trusted was accepting bribes stunned everyone who knew him. 	3	NA
vilified was innocent, made people stop believing everything they read	3	NA
wanted to interview knew everything about the CIA's plan would turn out to be accurate.	3	NA
was able to capture.	1	NA
was acting alongside in the movie was being paid twice her fee was disheartening yet unsurprising.	3	NA
was in love with, was the one who committed the arson was completely false.	3	NA
was looking after.	1	NA
was not found of, was asking for it, made no sense to those who heard the story.	3	NA
was paying to vote against the pledge was found to be untrue. 	2	2
was pleased to work with.	1	NA
was relying on to take him to his hotel had actually got lost made everyone nervous. 	3	NA
was saving wasn't met with deaf ears. 	2	2
was speaking to was actually rooting for the other side. 	2	1
was speaking too, was shocking. 	2	2
was treating was actually a werewolf caused Sarah to scream.	3	NA
was trying to catch was here, was frightening. 	3	NA
was trying to catch, was that he was actually not the one they were after. 	2	2
Brings is jagons.	NA	NA
Brought in beautiful.	NA	NA
Follow is handsome.	NA	NA
Form is perfect.	NA	NA
Got was legit.	2	-1
Green Peace, never really went anywhere	NA	NA
Is torturing has a strong mind.	2	1
Kill is interested	NA	NA
Like is extremely high.	NA	NA
Meet is terrible	NA	NA
Partner with is very nice	NA	NA
Picasso liked,had passed away.	NA	NA
Rescue is my cousins friend.	NA	NA
Talk about is the real criminal.	NA	NA
admired was that painting was easier than sculpting 	2	2
arrested said that they were a bad person.	2	-1
asked to to stop running ignored her, angered the professional.	3	NA
assaulted, was a tragic one.	2	2
attacked,are going to fully recover.	2	1
became an overnight success.	1	NA
became friends with, was in fact her long lost cousin. 	2	1
blackmailed, came as no surprise	2	-1
bought his candy from,is very sweet.	2	-1
caught trying to scam her made the newspapers	2	2
confronted, was found to be meritless.	2	2
confronted, was shocking!	2	2
congratulated,had saved many lives.	2	1
contacted, was indeed not to be trusted. 	2	-1
decided to trick would be an easy target was incorrect.	3	NA
derided was no longer an employee shocked the customers.	3	NA
did not trust, was confirmed when she was reprimanded without cause.	2	-1
didnt know, was surprising. We thought everyone knew them! 	2	2
dressed as a clock, won this years race. 	2	1
fell in love with, was indeed a criminal, drew her even more to him.	3	NA
fell in love with, was that he only wanted her for her money	2	2
fell in love with, was that he was too old for her.	2	2
fell in love with,is not who he seems.	2	1
fired, cured cancer.	2	1
followed was surprising 	2	2
found hiding under the corner table	2	1
glorified, was an undercover agent	2	1
had an enmity with,was true	2	2
had an illicit love affair with, double crossed the officer and ultimately murdered her with a blunt axe, chicken wire and a poisoned candle.	2	1
had assisted in making previous transactions, was proved to be fraudulent.	2	2
had attacked the day before was proven to be true.	2	2
had high regard for, was agreed upon.	2	2
had just met, murdered the tourist was crazy.	3	NA
had reported on,had been found guilty.	2	1
hated because his hair was always so damn perfect.	1	NA
hates,it actually very shy.	2	1
helped, was known to the world forever more.	2	-1
hired for a job was a boring story.	2	2
hired was not a trained sculptor was devastating to the painter.	3	NA
jumped out from behind the ambulance waving the victims spleen at pleased the medic.	NA	NA
just had a tussle with,made hom see the reason, why it was easy for the crook to break in. 	2	2
just met was her neighbor was not pleasing.	3	NA
kicked last week when they were waiting outside of asda, failed to stand up in court.	2	-1
knew had skeleton's in his cupboard,was finally brought to light.	2	2
knew quite well, was true.	2	2
life coached, was a murderer, was seeming to make sense.	3	NA
like was that they were very professional	NA	NA
long suspected of being a paedophile, did indeed confirm their suspicions.	2	2
long suspected of being a serial killer, was indeed a twisted human.	2	1
looked up to had just learned how to swim was very surprising.	3	NA
loved to write long words as he thought it made him look more photosynthesis.	NA	NA
make a contract with, was no longer valid.	2	2
married and lived a lie with, shocked her.	2	-1
met in town was having an affair.	2	1
met yesterday was telling lies.	2	1
owes his life too, proposed today and the swimmer said no.	2	1
painted turned out to be false.	2	2
picked on, was never founded	2	-1
portrayed as a very good person, was accurate.	2	2
preferred to see, wasnt in the office that day was disappointing news. 	3	NA
previously disregard, was right.	2	2
ran from,called the police.	2	1
ran over, were related blew everyone's minds.	3	NA
relied upon to take him to legitimate places annoyed him.	2	-1
repeated stole from, was nervous of the new range of books they had ordered. 	NA	NA
rescued, was indeed the missing child from the news.	2	1
saved, was her own mother. 	2	1
sold from was due to there tone	2	2
stole from.	1	NA
succeeded in catching was caught red handed. 	2	1
suspected, was correct. They were looking for the right person. 	2	2
suspected, was entirely made up	2	2
suspected, was really correct/true.	2	2
