completion	workerid	condition	item	sentence1	slide_number	verbs	whichVerb
1	a nadie le gusta hizo era muy difícil.	23	SC_RC	MEDIUM_3	La prueba de que el director que 	14	3	NA
2	abusó sexualmente de una empleada puede haberlo estado haciendo durante años está muy extendida entre todos sus subordinados. (CEO as in Chief Executive Officer)	51	SC_RC	MEDIUM_6	La creencia de que el CEO que 	28	3	NA
3	acababa de fallecer robo varias de sus canciones, fue un choque para varios 	16	SC_RC	MEDIUM_11	La impresión de que el violinista que 	35	3	NA
4	acaban de terminar era mas lindo que el otro no era verdad.	23	SC_RC	MEDIUM_11	La impresión de que el corredor que 	22	3	NA
5	accidentalmente eliminó los reportes era su visible incomodidad en la reunión.	29	SC_RC	MEDIUM_0	La señal de que el empleado que 	12	NA	NA
6	acepta el recorte de sueldo para mantener a su equipo es honrado no se puede discutir.	31	SC_RC	MEDIUM_8	La hipótesis de que el senador que 	37	3	NA
7	actuo en defensa.	10	SC_RC	MEDIUM_0	El reconocimiento de que la víctima que 	28	1	NA
8	al viaja por el espacio le acompaña un husky de Marte es, obviamente, mentira.	33	SC_RC	MEDIUM_2	La ficción de que el estudiante que 	40	2	2
9	algún día podría ir a marte nació de un libro que su padre le leyó de pequeño. 	37	SC_RC	MEDIUM_5	La ficción de que el estudiante que 	23	3	NA
10	amaba su vocación era incierta. 	3	SC_RC	MEDIUM_6	La certeza de que el violinista que 	24	2	NA
11	antepone sus necesidades ante las de sus inferiores no tiene por qué suceder siempre	35	SC_RC	MEDIUM_10	El convencimiento de que el comandante que 	31	2	NA
12	aparece en el libro es el hecho de que en secreto es un hombre lobo.	29	SC_RC	MEDIUM_5	La ficción de que el taxista que 	40	NA	NA
13	aparecia en las peliculas era similar a los de la vida real era falsa	46	SC_RC	MEDIUM_6	La creencia de que el mafioso que 	10	3	NA
14	apoyó a Trump fue sobornado acabó saliendo a la luz y sorprendiendo a la mayoría de los estadounidenses.	72	SC_RC	MEDIUM_5	La historia de que el senador que 	7	3	NA
15	aprendio el instrumento muy joven tenia talento era obvio.	10	SC_RC	MEDIUM_3	La realidad de que el violinista que 	34	3	NA
16	aprobó la nueva ley.	30	SC_RC	MEDIUM_6	El convencimiento de que el senador que 	30	1	NA
17	Aprobó todo ha copiado es incierta	19	SC_RC	MEDIUM_10	La sospecha de que el estudiante que 	36	3	NA
18	asaltó la tienda era conocido de los dueños fue confirmada más tarde	12	SC_RC	MEDIUM_8	La hipótesis de que el criminal que 	38	3	NA
19	aseguraba sanar a la gente, en realidad era un estafador, quedó revelada.	36	SC_RC	MEDIUM_5	La realidad de que el predicador que 	41	3	NA
20	asesinó a su esposa y a sus hijos, es totalmente falsa. 	3	SC_RC	MEDIUM_2	La información de que el actor que 	27	2	NA
21	asesinó al hombre de 42 años sigue siendo una preocupación para los habitantes del pueblo.	62	SC_RC	MEDIUM_10	El hecho de que el criminal que 	22	2	NA
22	atenta contra los demás, es un verdadero peligro.	64	SC_RC	MEDIUM_5	El reconocimiento de que el extremista que 	21	2	NA
23	atracó un estanco el pasado lunes ha sido detenido es falsa.	51	SC_RC	MEDIUM_0	La historia de que el criminal que 	37	3	NA
24	atraparon no era el culpable	12	SC_RC	MEDIUM_2	La señal de que el mafioso que 	26	2	NA
25	atrapó al ladrón sospechaba del mismo fue su contínua vigilancia desde el mimso momento que entró en la tienda.	1	SC_RC	MEDIUM_7	La impresión de que el vendedor que 	34	NA	NA
26	Ayudaba a sus vecinos ha muerto, es real	19	SC_RC	MEDIUM_5	El reporte de que el mafioso que 	38	3	NA
27	ayudaba a todos nadie nunca la creyó.	26	SC_RC	MEDIUM_0	La ficción de que el político que 	7	2	NA
28	ayudó a esos pobres niños es bastante completo.	38	SC_RC	MEDIUM_3	El reporte de que el salvavidas que 	35	NA	NA
29	becaron pasó todas sus materias.	30	SC_RC	MEDIUM_8	La conclusión de que el estudiante que 	24	NA	NA
30	Busca crecer es falsa	60	SC_RC	MEDIUM_3	La realidad de que el empresario que 	14	2	2
31	buscábamos estuviera escondido en el bar resultó cierto.	50	SC_RC	MEDIUM_8	El rumor de que el mafioso que 	35	3	NA
32	cobra caro es mejor no es del todo cierto.	17	SC_RC	MEDIUM_7	El hecho de que el taxista que 	20	3	NA
33	cobra muy caro sueñe con tener un negocio no es muy factible 	24	SC_RC	MEDIUM_10	La impresión de que el taxista que 	17	3	NA
34	coma sano gana fácilmente no siempre se cumple	35	SC_RC	MEDIUM_3	La realidad de que el corredor que 	8	NA	NA
35	comenzó esta reunión quería irse, era evidente ya que se apresuró en hablar y miraba el reloj repetidamente.	29	SC_RC	MEDIUM_10	La impresión de que el director que 	14	NA	NA
36	cometía crímenes fue descubierto	35	SC_RC	MEDIUM_1	El reporte de que el predicador que 	35	2	NA
37	cometió actos de corrupción durante todo el sexenio junto con sus amigos es verdadera. 	73	SC_RC	MEDIUM_0	La prueba de que el político que 	36	2	NA
