predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0.75	0.55	251291	74386.28	0.02931972	
1	0.5	251291	74392.51	0.02868851	
0.75	0.15	251291	74415.3	0.0267006	
0.75	0.6	251291	74380.83	0.0299138	
0	0.65	251291	74486.82	0.02668884	
0.75	0.75	251291	74382.52	0.03019879	
0.75	0.8	251291	74384.82	0.03049665	
0.5	0.85	251291	74411.84	0.03017839	
0	0.75	251291	74564.48	0.0168334	
1	0.45	251291	74388.27	0.02902665	
1	0.75	251291	74375.11	0.03061686	
0.75	0.45	251291	74391.69	0.02866747	
1	0.7	250910	74346.04	0.03043281	
1	0.6	251291	74386.52	0.02926721	
1	0.35	251291	74397.62	0.02824328	
0.25	0.2	251291	74416.38	0.02666097	
0.5	0.15	251291	74413.49	0.02689073	
0.75	0.5	251291	74388.62	0.02887939	
1	0.95	251291	74523.08	0.02468885	
0.25	0.65	251291	74428.07	0.0290485	
1	0.15	251291	74414.22	0.0269089	
1	0.8	251291	74377.28	0.03073917	
1	0.3	251291	74400.31	0.02808313	
1	0.65	251291	74379.8	0.02982454	
0.25	0.95	251291	74533.92	0.02157715	
0.25	0.45	251291	74391.3	0.02850862	
1	0.25	251291	74404.07	0.02770926	
0.25	0.1	251291	74416.76	0.02659905	
0.75	0.35	251291	74392.31	0.02843895	
0.25	0.6	251291	74415.36	0.02820466	
0.25	0.85	251291	74465.67	0.02790356	
0.75	0.7	251291	74374.66	0.03061731	
0.75	0.3	250508	74502.86	0.02719462	
0.5	0.35	251291	74408.64	0.02737399	
0.75	0.2	251291	74413.57	0.02690393	
0.75	0.85	251291	74391.99	0.03043651	
1	0.2	251291	74407.64	0.02743119	
0.75	0.4	251291	74401.28	0.02809732	
0	0.85	251291	74594.73	0.003336903	
1	0.55	251291	74388.6	0.0289866	
0.25	0.5	251291	74388.65	0.02860987	
0.75	0.9	251291	74465.25	0.02794195	
0	0.7	251291	74557	0.01572796	
0.5	0.6	251291	74377.76	0.02996451	
0.25	0.3	251291	74414.3	0.02693792	
0	0.6	251291	74487.58	0.02478044	
0.75	0.25	251291	74409.31	0.02720334	
0	0.95	250139	74335.18	-0.0002176798	
0	0.1	251291	74417.3	0.02657042	
0.75	0.95	251291	74534.65	0.02272781	
1	0.4	251291	74395.26	0.02848424	
0	0.8	251291	74586.94	0.008212906	
0.25	0.8	251291	74445.89	0.02763266	
0.75	0.65	251291	74379.69	0.03018883	
0.5	0.3	251291	74410.12	0.02717886	
1	0.85	251291	74395.25	0.030641	
0	0.4	251291	74425	0.02660299	
0.5	0.2	251291	74412.95	0.02698848	
0.5	0.75	251291	74420.07	0.0275625	
0.5	0.7	251291	74394.32	0.02940854	
0.5	0.1	251291	74416.05	0.02665559	
1	0.9	251291	74456.78	0.02861183	
1	0.1	251291	74412.9	0.02694618	
0.25	0.35	251291	74406.94	0.02751555	
0	0.9	251291	74592.65	0.0004280702	
1	0.05	251291	74415.45	0.02673689	
0.5	0.65	251291	74390.03	0.02930267	
0	0.45	251291	74439.92	0.02408949	
0.25	0.7	251291	74444.87	0.02682861	
0.5	0.9	251291	74457.78	0.02793128	
0.5	0.45	251291	74392.39	0.02832963	
0	0.5	251291	74437.72	0.02703422	
0.5	0.05	251291	74416.52	0.0266101	
0.25	0.9	251291	74498.25	0.02489165	
0.5	0.8	251291	74400.62	0.02994299	
0.5	0.55	251291	74388.97	0.02943646	
0.25	0.75	251291	74441.84	0.02647061	
0.25	0.25	251291	74414.86	0.02683122	
0.75	0.05	251291	74416.13	0.02666958	
0.5	0.5	251291	74391.25	0.02867254	
0.25	0.55	251291	74404.59	0.0288756	
0.5	0.4	251291	74391.21	0.02850025	
0.5	0.25	251291	74412.6	0.026989	
0	0.35	251291	74416.56	0.02704328	
0.25	0.4	251291	74405.25	0.02753354	
0.25	0.05	251291	74416.54	0.02661281	
0.25	0.15	251291	74415.52	0.02672768	
0	0.55	251291	74433.24	0.0276738	
0	0.2	251291	74413.32	0.02688878	
0	0.3	251291	74416.84	0.02702856	
0	0.05	251291	74416.85	0.02660039	
0.75	0.1	251291	74416.79	0.02660709	
0	0.15	251291	74416.29	0.02670952	
0	0.25	251291	74418.1	0.02689976	
0.5	0.95	251291	74532.35	0.02209538	
