predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0.75	0.55	26401	16819.17	0.008414339	
1	0.5	26401	16823.64	0.008109804	
0.75	0.15	26401	16826.9	0.007869462	
0.75	0.6	26401	16817.64	0.008402875	
0	0.65	26401	16814.99	0.009265521	
0.75	0.75	26401	16813.76	0.008541497	
0.75	0.8	26401	16810.12	0.008749513	
0.5	0.85	26401	16816.44	0.008892124	
0	0.75	26401	16853.07	0.008490437	
1	0.45	26401	16823.12	0.008144148	
1	0.75	26401	16814.85	0.008655907	
0.75	0.45	26401	16817.57	0.008593291	
1	0.7	26384	16811.09	0.008656173	
1	0.6	26401	16821.54	0.008218944	
1	0.35	26401	16823.81	0.008107797	
0.25	0.2	26401	16827.04	0.007856005	
0.5	0.15	26401	16826.23	0.007916181	
0.75	0.5	26401	16816.2	0.008568885	
1	0.95	26401	16836.23	0.008218904	
0.25	0.65	26401	16810.97	0.009898084	
1	0.15	26401	16826.58	0.007945661	
1	0.8	26401	16813.48	0.008561603	
1	0.3	26401	16825.19	0.008033788	
1	0.65	26401	16819.05	0.008338038	
0.25	0.95	26401	16833.61	0.007020531	
0.25	0.45	26401	16818.87	0.008146569	
1	0.25	26401	16825.48	0.008011486	
0.25	0.1	26401	16827.01	0.007852868	
0.75	0.35	26401	16821.92	0.00818315	
0.25	0.6	26401	16806.05	0.009197307	
0.25	0.85	26401	16813.96	0.009555518	
0.75	0.7	26401	16812.52	0.008847591	
0.75	0.3	26367	16827.36	0.007850709	
0.5	0.35	26401	16822.5	0.008130759	
0.75	0.2	26401	16827.57	0.007843844	
0.75	0.85	26401	16816.03	0.008540064	
1	0.2	26401	16826.44	0.007940672	
0.75	0.4	26401	16820.82	0.008284632	
0	0.85	26401	16863.32	0.006282888	
1	0.55	26401	16822.48	0.00819441	
0.25	0.5	26401	16807.56	0.009139221	
0.75	0.9	26401	16819.72	0.008770183	
0	0.7	26401	16840.78	0.008531569	
0.5	0.6	26401	16816.88	0.008431665	
0.25	0.3	26401	16826.7	0.007925806	
0	0.6	26401	16814.7	0.008881076	
0.75	0.25	26401	16824.86	0.008012893	
0	0.95	26095	16581.59	0.005509033	
0	0.1	26401	16826.71	0.007890249	
0.75	0.95	26401	16839.25	0.007644162	
1	0.4	26401	16823.01	0.008148162	
0	0.8	26401	16860.58	0.004791147	
0.25	0.8	26401	16810.03	0.008950729	
0.75	0.65	26401	16816.89	0.008543511	
0.5	0.3	26401	16825.27	0.00794121	
1	0.85	26401	16812.1	0.008915487	
0	0.4	26401	16813.99	0.008334907	
0.5	0.2	26401	16825.45	0.007990285	
0.5	0.75	26401	16818.1	0.008401777	
0.5	0.7	26401	16805.38	0.009220672	
0.5	0.1	26401	16826.99	0.007863293	
1	0.9	26401	16817.8	0.008913174	
1	0.1	26401	16826.38	0.007913202	
0.25	0.35	26401	16821.98	0.00815308	
0	0.9	26401	16864.7	0.005314234	
1	0.05	26401	16826.85	0.007891305	
0.5	0.65	26401	16810.7	0.009134636	
0	0.45	26401	16813.74	0.008283737	
0.25	0.7	26401	16808.57	0.009150539	
0.5	0.9	26401	16815.63	0.008957021	
0.5	0.45	26401	16817.28	0.008451741	
0	0.5	26401	16805.66	0.008605776	
0.5	0.05	26401	16827.09	0.007854015	
0.25	0.9	26401	16829.22	0.00822489	
0.5	0.8	26401	16808.67	0.008965078	
0.5	0.55	26401	16817.78	0.008551988	
0.25	0.75	26401	16799.43	0.009383781	
0.25	0.25	26401	16826.7	0.007894801	
0.75	0.05	26401	16827.31	0.007833018	
0.5	0.5	26401	16816.96	0.008576539	
0.25	0.55	26401	16808.7	0.009088506	
0.5	0.4	26401	16816.82	0.008621563	
0.5	0.25	26401	16826.79	0.007872529	
0	0.35	26401	16821.21	0.008139607	
0.25	0.4	26401	16819.61	0.008328555	
0.25	0.05	26401	16827.3	0.007836793	
0.25	0.15	26401	16827.2	0.007848314	
0	0.55	26401	16808.31	0.008757487	
0	0.2	26401	16824.33	0.008026315	
0	0.3	26401	16819.03	0.00825737	
0	0.05	26401	16826.94	0.007852409	
0.75	0.1	26401	16827.11	0.007858904	
0	0.15	26401	16825.97	0.007932664	
0	0.25	26401	16819.86	0.008329812	
0.5	0.95	26401	16836.04	0.007768102	
