condition	correct_answer	given_answer	item	rating	sentence	slide_number	workerid
filler	Y	Y	filler	4	The principal criticized the instructors for the program.	7	1
filler	N	Y	filler	5	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	8	1
filler	N	Y	filler	5	The florist sent the flowers on the table to the boy that were very expensive.	9	1
filler	Y	Y	filler	5	When my father lived in Australia, he would often go surfing along the coastal waters of Melbourne.	10	1
filler	N	Y	filler	4	Since when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.	11	1
filler	N	N	filler	5	The scientist challenged the inventor about the drug who was claiming to have found a cure for cancer.	12	1
filler	Y	Y	filler	4	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	13	1
filler	N	N	filler	4	The officer cautioned the driver about the explorer who was talking on the phone while driving.	14	1
filler	Y	Y	filler	3	The librarian delivered the books with many photographs to the building which depicted horses.	15	1
filler	Y	N	filler	5	Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.	16	1
filler	N	Y	filler	5	The critic complimented the director about the play who was asked to write the screenplay.	17	1
filler	N	Y	filler	4	The salesman called the buyer about the rifle who was looking for antiques from the war.	18	1
filler	N	Y	filler	4	The two children walked slowly in front of their mother as they gradually approached the playground.	19	1
filler	Y	Y	filler	5	The man that drove the car that had the paint job that was peeling ran into a pedestrian.	20	1
filler	Y	Y	filler	5	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	21	1
filler	Y	Y	filler	5	The police officer will guard the crosswalk as the children pass by on the way to elementary school.	22	1
2	Y	Y	7	5	The information that the suspected mobster who the media portrayed in detail turned out to be true.	23	1
filler	Y	N	filler	2	The board of directors announced that the business acquisition strategy was proceeding as planned.	24	1
filler	Y	Y	filler	5	The reporter approached the victim about the attack who was injured by the suicide bomber.	25	1
filler	N	Y	filler	5	Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.	26	1
filler	N	Y	filler	5	The counselor consoled the students about the competition.	27	1
filler	N	Y	filler	4	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	28	1
filler	N	Y	filler	3	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	29	1
filler	N	N	filler	5	The parent called the teacher about the class who was giving bad grades to foreign students.	30	1
filler	N	N	filler	5	Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.	31	1
filler	N	Y	filler	4	The student petitioned the professors regarding the course.	32	1
2	Y	Y	1	4	The disclosure that the conservative senator who the diplomat opposed in the election really made him angry.	33	1
filler	N	Y	filler	5	This morning, a manager stayed who is rarely in the office so the employees were very well behaved.	34	1
filler	Y	N	filler	5	The sportscaster interviewed the captain about the team who was leading his team to the championship.	35	1
filler	Y	Y	filler	4	The neighbor approached the owner about the dog who was building a doghouse over the property line.	36	1
filler	N	Y	filler	5	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	37	1
