workerid	condition	item	rt	correct	word	wordInItem	Region	RegionFine	sentence	Noun	Continuation	trial	group
1	filler	Filler_35	1074	yes	Yesterday	0	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_35	698	yes	the	1	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_35	971	yes	swimmer	2	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_35	856	yes	saw	3	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_35	973	yes	only	4	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_35	560	yes	a	5	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_35	1951	yes	turtle	6	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_35	993	yes	at	7	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_35	596	yes	the	8	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_35	735	yes	beach.	9	NA	NA	Yesterday the swimmer saw only a turtle at the beach.	NA	NA	8	238
1	filler	Filler_29	522	yes	The	0	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	992	yes	janitor	1	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	688	yes	who	2	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	1268	yes	the	3	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	931	yes	doorman	4	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	2174	yes	who	5	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	795	yes	was	6	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	1048	yes	at	7	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	756	yes	the	8	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	903	yes	hotel	9	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	1054	yes	chatted	10	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	687	yes	with	11	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	2065	yes	bothered	12	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	1184	yes	a	13	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	910	yes	guest	14	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	961	yes	but	15	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	777	yes	the	16	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	1033	yes	manager	17	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	677	yes	decided	18	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	1104	yes	not	19	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	539	yes	to	20	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	719	yes	fire	21	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	722	yes	him	22	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	609	yes	for	23	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_29	847	yes	it.	24	NA	NA	The janitor who the doorman who was at the hotel chatted with bothered a guest but the manager decided not to fire him for it.	NA	NA	10	238
1	filler	Filler_24	477	yes	The	0	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	1672	yes	natives	1	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	796	yes	on	2	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	937	yes	the	3	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	825	yes	island	4	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	1117	yes	captured	5	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	621	yes	the	6	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	1258	yes	anthropologist	7	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	818	yes	because	8	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	768	yes	she	9	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	705	yes	had	10	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	1063	yes	information	11	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	711	yes	that	12	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	1507	yes	could	13	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	1374	no	help	14	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	995	yes	the	15	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_24	942	yes	tribe.	16	NA	NA	The natives on the island captured the anthropologist because she had information that could help the tribe.	NA	NA	14	238
1	filler	Filler_42	1005	yes	The	0	NA	NA	The beggar is often scrounging for cigarettes.	NA	NA	24	238
1	filler	Filler_42	1382	yes	beggar	1	NA	NA	The beggar is often scrounging for cigarettes.	NA	NA	24	238
1	filler	Filler_42	733	yes	is	2	NA	NA	The beggar is often scrounging for cigarettes.	NA	NA	24	238
1	filler	Filler_42	1512	yes	often	3	NA	NA	The beggar is often scrounging for cigarettes.	NA	NA	24	238
1	filler	Filler_42	1205	yes	scrounging	4	NA	NA	The beggar is often scrounging for cigarettes.	NA	NA	24	238
1	filler	Filler_42	714	yes	for	5	NA	NA	The beggar is often scrounging for cigarettes.	NA	NA	24	238
1	filler	Filler_42	795	yes	cigarettes.	6	NA	NA	The beggar is often scrounging for cigarettes.	NA	NA	24	238
1	condition_0	Critical_4	773	yes	The	0	REGION_D0	REGION_D0	The admission shocked everyone.	admission	shocked_everyone.	48	238
1	condition_0	Critical_4	1382	yes	admission	1	REGION_N0	REGION_N0	The admission shocked everyone.	admission	shocked_everyone.	48	238
1	condition_0	Critical_4	1013	yes	shocked	2	REGION_3_0	REGION_3_0	The admission shocked everyone.	admission	shocked_everyone.	48	238
1	condition_0	Critical_4	630	yes	everyone.	3	REGION_3_1	REGION_3_1	The admission shocked everyone.	admission	shocked_everyone.	48	238
1	filler	Filler_11	514	yes	The	0	NA	NA	The citizens of France eat oysters.	NA	NA	17	238
1	filler	Filler_11	1029	yes	citizens	1	NA	NA	The citizens of France eat oysters.	NA	NA	17	238
1	filler	Filler_11	822	yes	of	2	NA	NA	The citizens of France eat oysters.	NA	NA	17	238
1	filler	Filler_11	983	yes	France	3	NA	NA	The citizens of France eat oysters.	NA	NA	17	238
1	filler	Filler_11	1002	yes	eat	4	NA	NA	The citizens of France eat oysters.	NA	NA	17	238
1	filler	Filler_11	1184	yes	oysters.	5	NA	NA	The citizens of France eat oysters.	NA	NA	17	238
1	condition_0	Critical_1	421	yes	The	0	REGION_D0	REGION_D0	The assumption was ridiculous.	assumption	was_ridiculous.	21	238
1	condition_0	Critical_1	1619	yes	assumption	1	REGION_N0	REGION_N0	The assumption was ridiculous.	assumption	was_ridiculous.	21	238
1	condition_0	Critical_1	689	yes	was	2	REGION_3_0	REGION_3_0	The assumption was ridiculous.	assumption	was_ridiculous.	21	238
1	condition_0	Critical_1	1812	yes	ridiculous.	3	REGION_3_1	REGION_3_1	The assumption was ridiculous.	assumption	was_ridiculous.	21	238
1	filler	Filler_14	440	yes	The	0	NA	NA	The engineer who the lawyer who was by the elevator scolded blamed the secretary but nobody listened to his complaints.	NA	NA	23	238
