Count	Phrase	HasThat	Noun	Capital
0	The hunch that	True	hunch	True
0	The reminder that	True	reminder	True
0	The insinuation that	True	insinuation	True
0	The disbelief that	True	disbelief	True
0	the disqualification that	True	disqualification	False
0	The disqualification that	True	disqualification	True
0	The inkling that	True	inkling	True
0	The prospects that	True	prospects	True
0	The retort that	True	retort	True
0	The beginning that	True	beginning	True
0	The rise that	True	rise	True
0	The duck that	True	duck	True
0	The premonition that	True	premonition	True
0	The delusion that	True	delusion	True
0	The guess that	True	guess	True
0	The skepticism that	True	skepticism	True
0	The bet that	True	bet	True
0	the nervousness that	True	nervousness	False
0	The nervousness that	True	nervousness	True
0	The showing that	True	showing	True
0	the annnouncement that	True	annnouncement	False
0	the annnouncement	False	annnouncement	False
0	The annnouncement	False	annnouncement	True
0	The annnouncement that	True	annnouncement	True
0	The defensive that	True	defensive	True
0	The forecast that	True	forecast	True
0	the , probability that	True	,	False
0	the , probability	False	,	False
0	The , probability	False	,	True
0	The , probability that	True	,	True
0	The self-confidence that	True	self-confidence	True
0	The reassurance that	True	reassurance	True
0	The desire that	True	desire	True
0	the rumbling that	True	rumbling	False
0	The rumbling that	True	rumbling	True
0	The insinuation that	True	insinuation	True
0	the , probability that	True	,	False
0	the , probability	False	,	False
0	The , probability	False	,	True
0	The , probability that	True	,	True
0	The hunch that	True	hunch	True
0	The premonition that	True	premonition	True
0	The forecast that	True	forecast	True
0	The disbelief that	True	disbelief	True
1	The indicator that	True	indicator	True
1	the hunch that	True	hunch	False
1	The reflection that	True	reflection	True
1	The certainty that	True	certainty	True
1	The estimation that	True	estimation	True
1	The gamble that	True	gamble	True
1	The bid that	True	bid	True
1	The disbelief	False	disbelief	True
1	The wish that	True	wish	True
1	The talk that	True	talk	True
1	The pretext that	True	pretext	True
1	the amazement that	True	amazement	False
1	The amazement that	True	amazement	True
1	the duck that	True	duck	False
1	The responsibility that	True	responsibility	True
1	The remark that	True	remark	True
1	The estimate that	True	estimate	True
1	The projection that	True	projection	True
1	The disappointment that	True	disappointment	True
1	The insurance that	True	insurance	True
1	The anticipation that	True	anticipation	True
1	The stand that	True	stand	True
1	The notice that	True	notice	True
1	The relief that	True	relief	True
1	the hunch that	True	hunch	False
1	The estimation that	True	estimation	True
1	The anticipation that	True	anticipation	True
1	The projection that	True	projection	True
1	The disbelief	False	disbelief	True
2	The coincidence that	True	coincidence	True
2	The inkling	False	inkling	True
2	The lie that	True	lie	True
2	the premonition that	True	premonition	False
2	The worry that	True	worry	True
2	The disclosure that	True	disclosure	True
2	the showing that	True	showing	False
2	The dream that	True	dream	True
2	The self-confidence	False	self-confidence	True
2	the premonition that	True	premonition	False
2	The lie that	True	lie	True
2	The worry that	True	worry	True
3	The insistence that	True	insistence	True
