workerid	completion	condition	item	sentence1	slide_number
1	1	bemerkte dass sie beobachtet wurde.	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	32
2	1	bestohlen hatte, wiedergefunden wurde.	SC_RC	EMBEDDED_8	Ibrahim hat gemeint, dass die Tatsache, dass der Buchhändler, den der Dieb	14
3	1	nach seinem Unfall Angst vor dem Reiten hat.	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	29
4	1	gemeinsam nach interessanten Büchern zu suchen.	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	31
5	1	Öffentlichkeit präsentierte, wurde in der Presse zerissen.	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	24
6	1	jeder vertraute.	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	15
7	1	denunzierte, auf falschen Tatsachen beruht.	SC_RC	EMBEDDED_7	Luigi hat gedacht, dass die Ansicht, dass der Händler, den der Unternehmer	35
8	1	das Gewitter aufgezogen ist.	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	12
9	1	Schauspielerin vorsang, gefiel ihr sehr gut.	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	13
10	1	sind Dinge die viele Menschen im Sommer genießen.	filler	filler_5	Spiele und Picknicks im Freien	11
11	1	erwähnte, zutrifft.	SC_RC	EMBEDDED_10	Ich denke nicht, dass die Mutmaßung, dass der Schauspieler, den der Star	23
12	1	Öffentlichkeit zu liebe ein Interview gab, war begeistert.	RC_RC_an	1_RC_RC_an	Der Reporter, den der Professor, der	16
13	1	zu fragen ob alles in Ordnung ist.	filler	filler_40	Der alte Mann rief seine Schwester an, um	17
14	1	schon lange in sie verliebt ist.	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	36
15	1	Helferin übergab, war bereits leer.	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	27
16	1	entschied er sich für eine andere Arbeit als sein Vater.	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	5
17	1	sich mit großer Begeisterung um der Wald gekümmert hat.	sub_ext_RC	4_sub_ext_RC	Der Förster, der	22
18	1	der hohen Arbeitsbelastung bei der Hitze sehr.	filler	filler_35	Der Holzfäller schwitzte unter	39
19	1	sich diese Wahl für eine andere Partei entschied, hat eine riesen Wut im Bauch.	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	42
20	1	sie mit ihrem Auftritt fertig waren.	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	28
21	1	ein Dorn im Auge ist, komplett erfunden ist.	SC_RC	EMBEDDED_0	Hans hat behauptet, dass der Beleg, dass der Schulleiter, den der Lehrer	26
22	1	belustigte, fertiggestellt ist.	SC_RC	EMBEDDED_2	Peter sagte mir, dass der Bericht, dass der Junge, den der Clown	10
23	1	verfolgt hat, großartig war.	SC_RC	EMBEDDED_4	Ich habe gehört, dass die Entdeckung, dass der Extremist, den der Agent	18
24	1	sein leben verdankt, selbstverständlich sei.	SC_RC	EMBEDDED_5	Die Leute glauben, dass die Aufforderung, dass der Lebensretter, den der Schwimmer	37
25	1	zugerichtet hat, inzwischen bestätigt ist.	SC_RC	EMBEDDED_6	Klaus hat erzählt, dass die Vermutung, dass das Opfer, das der Verbrecher	30
26	1	höflichkeit wegen ein gutes Trinkgeld gab, war begeistert.	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	34
27	1	solch merkwürdigen Satz lese drehe ich durch.	filler	filler_3	Wenn ich jemals noch einen	38
28	1	jeder unterschätzt hatte.	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	7
29	1	etwas dass den wenigsten bewußt ist.	filler	filler_14	Alle 20 Minuten passiert in Deutschland	21
30	1	an den Traum den er gerade hatte.	filler	filler	Als Frank aufwachte, erinnerte er sich	4
31	1	gemeldet hatte, eingetroffen ist.	SC_RC	EMBEDDED_11	Gestern sagte Norbert, dass die Befürchtung, dass der Betrüger, den die Frau	20
32	1	jegliche Zensur.	filler	filler	Annabelle war generell gegen	6
