completion	verbs
angeklagt hat, ein Wiederholungstäter sei, falsch ist.	3
angemault hat, schwul ist, das Verhalten des Kunden entschuldigt.	3
angesprochen hat, gezeigt hat, nicht angebracht ist.	3
auszeichnen will, diese Auszeichnung nicht annehmen darf, berechtigt sei.	3
belästigt haben soll, keinen Sinn macht.	2
beobachtet hat, gar nicht so heroisch ist, verneint wurde.	3
festgenommen hat, ihn attackiert hat, bestätigt wurde.	3
nicht mag, korrupt ist, nachvollziehbar ist.	3
umgeschubst hat, im Weg war und selber Schuld ist, zutrifft.	3
unterstützt, Banken sicherer machen soll, absolut nutzlos sei.	3
vergewaltigt hat, lügt, wahr ist.	3
angeklagt hat, dass Geld zurück zuzahlen, unberechtigt war.	3
beauftragt hat nicht erscheinen würde	2
beauftragt hat sich an den gesteigerten Umsatzzahlen zeigt	2
beklaut hat von allen anerkannt wird	2
beschattet hat, der kompletten Wahrheit entspricht 	2
beschrieben hat, falsch ist. 	2
bestochen hat der Skandals des Jahres ist	2
bestohlen hat, keine Klage einreichen wird.	2
des Verbrechen bezichtigt hat falsch ist	2
ermordet hat, mein Lieblingsschauspieler war.	2
erwischt hat beim falschen Beurteilen der Schüler, Konsequenzen haben wird.	2
für untauglich erklärt hat trotzdem gewonnen hat gegen den Psychiater spricht	3
gefangen hat Aussicht auf Erfolg hat	2
geholfen hat bei der Geldwäsche, nichtig ist.	2
haben möchte, wirklich so gelaufen ist. 	2
herbei gewunken hat betrunken gewesen sein soll vom Richter akzeptiert wurde	3
identifiziert hat, mit anderen zusammen gearbeitet hat, korrekt ist.	3
informiert hat, falsch sind.	2
interviewt hat, seine Familie umgebracht haben soll, so nicht stimmen kann.	3
kennt, der Wahrheit entspricht. 	2
kennt, völlig bestandlos ist. 	2
mag, vielleicht doch kein unanständiger Mann ist. 	2
misstraut, finalisiert wurde.	2
sein könnte, überlegt er einen Vaterschaftstest zu fordern. 	2
sich kennen einen wichtigen Unterschied macht	2
traf, ein Krimineller ist, falsch ist.	3
umgebracht hat, fallen gelassen wird.	2
unterstützt, ein Betrüger ist.	2
vertraut hat, ein heuchler ist.	2
vertraut, vollkommen sinnlos ist. 	2
vorgeschlagen hat, korrupt sein könnte. 	2
vorgeschlagen hat, vollkommen absurd ist. 	2
vorgezeigt hat, mit dem Beleg in den Unterlagen, übereinstimmt. 	2
zu einer Familie gehören eine wesentliche Rolle gespielt haben	2
zum Weinen gebracht hat, eine Lüge war	2
als Geisel nahm, eine neue war.	2
am Flughafen festgenommen hat, in Wirklichkeit selber für den Geheimdienst arbeitet.	2
angerufen hat, vom Dach gefallen ist, inkorrekt sei.	3
angezeigt hatte, einen Kunstfehler gemacht hat, wohl kaum ausreichend sein dürfte.	3
angezeigt hatte, wohl wohl nicht in Übereinstimmung miteinander sind. 	2
anklagte, 	1
auf Inkonsistenzen in seiner Predigt hingewiesen hat, zur Maßriegelung dieser Person eine gute Idee ist.	2
auf frischer Tat erwischt hat, auch an vorherigen Straftaten beteiligt gewesen war.	2
aus Versehen mit Kaffee überschüttet hatte, dies als Grund sehen könnte diesen zu entlassen.	2
ausgeraubt hatte, nicht vor Gericht erscheinen muss, gestern erst gefällt wurde.	3
ausraubte, in einem See ertrank, super sei.	3
beauftragt hatte, auch ohne ein Photo eine Statue von ihr anfertigen könne, reiner Unsinn sei.	3
beauftragt hatte, ein Hochstapler sei, der Wahrheit entspräche.	3
beauftragt hatte, nur heiße Luft von sich gäbe, wohl zutreffend wäre.	3
beauftragt hatte, schon mehrfach Ergebnisse verfälscht hatte, wirklich etwas neues sei.	3
beauftragt hatte, sein Werk nicht der Öffentlichkeit zu zeigen, sehr schade sei.	3
behandelt, nur 5km laufen wird, nicht stimmt.	3
beklaute, an sein Fenster klebte, wirklich etwas bringen würde.	3
beklaute, nichtig ist.	2
beobachtet hatte, mit Büromaterialien rücksichtslos umgegangen sein soll, wohl zutreffend sei. 	3
beschattet hatte, bald einen Anschlag durchführen würde, sich in Luft aufgelöst hatte.	3
bestach, 	1
bestahl, schon davor zahlungsunfähig war, wirklich traurig für sie sei. 	3
bestellte, ein Scharlatan ist, doof sei.	3
bestellte, nachweislich log, schlicht nicht der Wahrheit entspreche.	3
bestochen hatte, nicht mehr im Amt ist, eine große Neuigkeit sei.	3
betrunken war, etwas erfunden hatte, schlicht falsch sei.	3
bewundert, tatsächlich nicht so viel Gutes tut, Unsinn ist.	3
bezahlte, Pleite ist, nicht stimmte.	3
der Lüge bezichtigt hatte, wohl unzutreffend sei.	2
eindeutig identifizierte, mehrere Stunden Sozialarbeit leisten sollte, eine viel zu geringe Strafe darstellte.	3
eingestellt hat, vom Lager gestohlen habe, korrekt ist.	3
eingestellt hatte, die endgültige Entscheidung trifft, Sinn ergibt.	3
erschoss, gestohlen wurde.	2
ersetzen sollte, keine große Lust daran hatte, stellte sich als falsch heraus.	3
erst letzte Woche würdigte, Drogen nehme, an den Haaren herbeigezogen sein soll. 	3
ertappt hat, Geld gefälscht habe, niemals geglaubt werde.	3
gebeten hatten zu spielen, nicht sehr gut war, unbegründet sei.	3
gebraucht hat, zeigte, Gefahr bedeutet.	3
gefangen genommen hat, verletzt sei, wahr ist.	3
geheiratet hat, betrügt, stimmt.	3
geküsst hat, eine Ehefrau hat, sehr schrecklich ist.	3
gerettet hat, blaue Augen hat, gelogen ist.	3
geschlagen hat, reich sei, stimme.	3
gesehen hat, mit seiner Hand gegeben hat, ein Daumen nach oben war.	3
gestern festgenommen hat, einen Raubüberfall tätigte, richtig war.	3
gestern gesehen hat, 1000 Euro haben wollte.	2
gestern nach Hause geschickt hatte, geweint hatte, falsch war.	3
getroffen hatte, eine Affäre hatte, Unsinn ist.	3
gewaltsam behandelt hat, eine falsche Anklage gemacht hat, Unsinn ist.	3
gezeichnet hat, traurig sei, korrekt ist.	3
hervorbrach, nicht gut spielen kann, warh ist.	3
hinter Gittern bringen wollte, dies auch mit anderen Frauen gemacht hatte, zur Verurteilung beigetragen hat.	3
im Raubtiierkäfig gefunden haben soll, in Wirklichkeit eine Ente der lokalen Zeitung ist und bald korrigiert wird. 	2
ins Geschäft einbeziehen wollte, unzuverlässig war, der Grund für den Zusammenbruch des Arbeitsverhältnisses war.	3
inspiriert hatte, ein Talent für ausgefallene Werbekampagnen habe, revolutionär sei.  	3
interviewte, abgeschoben werden sollte, noch nicht sicher ist.	3
ironischerweise tod bergen musste, der Wahrheit entsprechen. 	2
kauften, nicht spielen konnte, überholt sei.	3
kleinzureden versuchte, zu irgendeinem brauchbarem Ergebnis führen wird.	2
kritisch erwähnte, korrupt sei, wohl leider den Tatsachen entspreche. 	3
küsste, der Mathe studierte, falsch sei.	3
letztes Jahr geheiratet hatte, eine Affäre hat, schon lange eine Vermutung gewesen sei.	3
